lon,lat,log_ppt_2025_standardized
-107.22916666737852,46.8791666667885,1.2688283
-106.06250000075852,45.112500000192505,1.4253912
-110.89583333389852,48.679166666716505,-0.21007633
-111.69583333386652,47.1791666667765,0.19773118
-109.3958333339585,45.5458333335085,0.71252424
-105.16250000079452,46.7458333334605,1.6034578
-114.89583333373852,49.000000000037005,0.56478006
-108.7625000006505,48.4791666667245,-1.4329498
-108.42916666733052,46.3458333334765,1.154299
-113.62916666712252,47.4458333334325,0.8944895
-111.69583333386652,45.2458333335205,0.95992
-104.46250000082252,48.8791666667085,0.04328943
-107.56250000069852,45.7791666668325,1.4954717
-104.8625000008065,45.112500000192505,1.6606439
-106.62916666740252,48.1458333334045,0.00526164
-113.89583333377853,46.8125000001245,0.98425937
-114.86250000040653,48.4791666667245,0.9993957
-112.4291666671705,46.0125000001565,0.75471616
-106.26250000075052,48.4791666667245,0.13803296
-112.49583333383453,47.912500000080506,0.6064695
-110.72916666723852,46.2125000001485,0.528684
-108.7625000006505,47.0791666667805,-0.03879588
-110.4958333339145,47.1791666667765,0.081931524
-107.49583333403451,46.6458333334645,1.1690278
-112.26250000051051,46.7458333334605,0.55183595
-112.26250000051051,45.0458333335285,1.1720535
-113.12916666714251,45.7791666668325,1.0067039
-113.5291666671265,45.3791666668485,0.57331085
-109.8291666672745,48.679166666716505,-0.2519741
-108.06250000067853,48.8791666667085,-1.2067399
-110.32916666725453,48.8458333333765,-0.5248017
-110.9291666672305,45.5791666668405,1.5272641
-109.59583333395052,47.1458333334445,0.03330744
-114.56250000041852,47.812500000084505,0.91626173
-108.92916666731053,46.0125000001565,0.6477817
-112.62916666716252,46.4791666668045,0.8886977
-104.29583333416252,45.3791666668485,1.6305951
-113.36250000046653,46.4125000001405,1.4054139
-111.09583333389052,47.045833333448506,0.33937305
-105.56250000077851,45.1458333335245,1.6727892
-113.79583333378253,45.5458333335085,0.846301
-114.22916666709853,47.3125000001045,0.79899514
-110.66250000057452,47.8791666667485,-0.90208924
-108.16250000067453,45.5125000001765,1.2416097
-108.62916666732252,48.1458333334045,-0.87229574
-106.26250000075052,47.7458333334205,1.0134946
-105.36250000078653,45.6791666668365,1.8274513
-105.39583333411852,48.4458333333925,0.2164269
-104.59583333415053,47.7791666667525,0.9334936
-110.02916666726652,48.9791666667045,-0.46402916
-113.0958333338105,47.5791666667605,0.89742506
-104.59583333415053,46.5458333334685,1.394608
-105.82916666743452,46.2791666668125,1.6822912
-108.19583333400652,46.9125000001205,0.38251132
-109.32916666729452,48.2791666667325,-0.90143365
-105.89583333409853,47.7125000000885,0.77976257
-109.4291666672905,49.000000000037005,-0.82110727
-112.6283333338292,44.4900000002174,0.84368545
-112.89583333381852,44.8125000002045,0.99872977
-105.96250000076252,48.5791666667205,0.3704231
-113.46250000046253,48.7458333333805,0.40145028
-111.66250000053452,47.7791666667525,0.5377991
-114.32916666709453,46.4458333334725,0.72238
-113.46250000046253,47.1125000001125,0.93984294
-108.92916666731053,48.7125000000485,-1.9527698
-114.32916666709453,45.9791666668245,0.710875
-111.39583333387851,45.0791666668605,1.4335648
-106.86250000072653,47.4458333334325,0.5314978
-110.4958333339145,46.612500000132506,-0.07775842
-107.66250000069452,47.8791666667485,-0.49130574
-111.02916666722652,46.2791666668125,0.5511762
-109.46250000062253,46.612500000132506,0.56379676
-110.0625000005985,45.6791666668365,0.89385855
-109.06250000063852,46.612500000132506,0.34628004
-108.86250000064652,45.4125000001805,0.67448264
-107.39583333403851,47.1458333334445,0.18459703
-112.36250000050651,48.4125000000605,0.6480823
-113.32916666713452,46.1125000001525,1.0602505
-108.29583333400252,47.479166666764506,-0.40855688
-113.12916666714251,46.5791666668005,0.99624026
-104.8625000008065,47.5458333334285,0.8614754
-113.56250000045851,47.8791666667485,0.75063056
-107.26250000071052,48.0125000000765,-0.12909275
